Category,KPI,Measured Value,Expected Value,Status,Severity,Required Tier,Certification Impact,Fail Action,Operator Notes,Timestamp,Operator
Camera,Resolution,,>= 1080 px,,,T1,Bronze+,block_session_start,,,
Camera,Frame Rate,,>= 60 fps (>= 120 for Gold/Platinum),,,T1,Bronze+,stop_recording,,,
Camera,Shutter / Exposure Time,,<= 1.0 ms (1/1000 s),,,T2,Silver+,request_setting_change,,,
Visibility,Motion Blur,,<= 1.0 ball-diameter (<= 0.5 for Gold/Platinum),,,T2,Silver+,request_setting_change,,,
Camera,Exposure Lock,,locked == true,,,T1,Bronze+,request_setting_change,,,
Camera,White Balance Lock,,locked == true,,,T1,Bronze+,request_setting_change,,,
Calibration,Lens Calibration,,valid calibration present,,,T2,Silver+,force_recalibration,,,
Calibration,Reprojection Error (2D),,<= 1.0 px (<= 0.5 for Gold/Platinum),,,T2,Silver+,force_recalibration,,,
Calibration,3D Reconstruction Error,,<= 10 mm (<= 5 mm for Platinum),,,T3,Gold+,force_recalibration,,,
Calibration,Calibration Age,,<= 24 h,,,T2,Silver+,force_recalibration,,,
Synchronization,Synchronization Error,,<= 1 frame (Silver) / <= 1 ms (Gold) / <= 0.5 ms (Platinum),,,T3,Gold+,resync_cameras,,,
Synchronization,Time Synchronization,,locked == true,,,T3,Gold+,resync_cameras,,,
Synchronization,Frame-Accurate Timestamps,,frame-accurate == true,,,T3_OFFICIATING,Platinum only,deny_officiating,,,
Calibration,Camera Drift,,<= 1.0 px,,,T3,Gold+,force_recalibration,,,
Camera,Dropped Frames,,< 0.1 %,,,T1,Bronze+,stop_recording,,,
Lighting,Lighting Uniformity,,>= 0.7 (>= 0.8 Gold),,,T2,Silver+,request_lighting,,,
Lighting,Illuminance (Lux),,>= 500 (Bronze) / 800 (Silver) / 1000 (Gold),,,T1,Bronze+,request_lighting,,,
Lighting,Flicker,,< 5 %,,,T2,Silver+,request_lighting,,,
Lighting,Glare-Free Table,,glare_free == true,,,T3,Gold+,request_lighting,,,
Lighting,Color Temperature Deviation,,<= 300 K from target,,,T2,Silver+,request_setting_change,,,
Visibility,Occlusion,,< 10 %,,,T2,Silver+,request_reposition,,,
Visibility,Ball Visibility,,>= 90 % (>= 95 Gold),,,T1,Bronze+,request_reposition,,,
Visibility,Tracking Success,,>= 90 % (>= 95 Gold),,,T1,Bronze+,request_reposition,,,
System,Storage Health,,>= 20 % free,,,T1,Bronze+,block_session_start,,,
System,Battery,,>= 30 %,,,T1,Bronze+,request_power,,,
System,Sensor Temperature,,< 60 C,,,T1,Bronze+,pause_recording,,,
System,Camera Stability,,<= 1.0 px jitter,,,T2,Silver+,request_reposition,,,
Coverage,Coverage Volume,,100 % double-covered,,,T3,Gold+,request_reposition,,,
Coverage,Multi-Camera Overlap,,>= 50 %,,,T3,Gold+,request_reposition,,,
Network,Network Latency,,< 200 ms (< 100 ms officiating),,,T3,Gold+,switch_offline_buffer,,,
Network,Packet Loss,,< 0.1 %,,,T3,Gold+,switch_offline_buffer,,,
Network,Jitter,,< 10 ms,,,T3,Gold+,switch_offline_buffer,,,
Network,Secure Network Isolation,,isolated == true,,,T3_OFFICIATING,Platinum only,deny_officiating,,,
Metadata,Metadata Completeness,,100 % required fields,,,T1,Bronze+,block_session_start,,,
Metadata,Provenance Record,,provenance valid,,,T3,Gold+,deny_certification,,,
Metadata,Tamper Evidence,,evidence chain intact,,,T3_OFFICIATING,Platinum only,deny_officiating,,,
Officiating,Ground-Truth Status,,validated == true,,,T3_OFFICIATING,Platinum only,deny_officiating,,,
Calibration,Versioned Calibration,,versioned record present,,,T3,Gold+,force_recalibration,,,
Camera,Global Shutter,,global_shutter == true,,,T3_OFFICIATING,Platinum only,deny_officiating,,,
Environment,Environmental Sensors,,sensors present == true,,,T3,Gold+,warn_only,,,
